epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,3245.84,0.62139,0.5433,0.9647,0.98188,0.9322,0.97102,0.8074,0.70653,0.835,0.75135,0.00139016,0.00139016,0.00139016
156,3264.79,0.608,0.5221,0.9606,0.99402,0.9322,0.97918,0.81915,0.71878,0.62473,0.76365,0.0013862,0.0013862,0.0013862
157,3284.51,0.66312,0.58641,0.99871,0.97522,0.94915,0.98867,0.82283,0.67501,0.64155,0.76287,0.00138224,0.00138224,0.00138224
158,3303.38,0.62291,0.48834,1.01117,0.94295,0.94915,0.97443,0.80231,0.68359,0.6769,0.76315,0.00137828,0.00137828,0.00137828
159,3322.5,0.61793,0.5083,0.97599,0.94768,0.92115,0.97431,0.8082,0.6832,0.62339,0.76279,0.00137432,0.00137432,0.00137432
160,3341.35,0.58252,0.53007,0.95938,0.98205,0.92759,0.97575,0.82814,0.64133,0.54261,0.76095,0.00137036,0.00137036,0.00137036
161,3361.79,0.635,0.51808,0.96347,0.98212,0.93121,0.97457,0.82853,0.64443,0.53305,0.76891,0.0013664,0.0013664,0.0013664
162,3380.75,0.55607,0.47799,0.93825,0.96478,0.92864,0.97827,0.82251,0.65454,0.57774,0.76823,0.00136244,0.00136244,0.00136244
163,3399.83,0.67029,0.51016,0.9727,1,0.93057,0.98039,0.82642,0.65353,0.53261,0.7651,0.00135848,0.00135848,0.00135848
164,3419.93,0.65515,0.5503,1.0243,1,0.93533,0.9797,0.82632,0.62643,0.56262,0.76194,0.00135452,0.00135452,0.00135452
165,3439.18,0.58508,0.50578,0.95724,0.98957,0.9322,0.97783,0.82407,0.59278,0.63135,0.76143,0.00135056,0.00135056,0.00135056
166,3458.16,0.59399,0.5027,0.99333,0.94895,0.94915,0.97243,0.82769,0.57429,0.70868,0.77196,0.0013466,0.0013466,0.0013466
167,3477.95,0.65745,0.53786,1.03146,0.98243,0.86441,0.95396,0.79793,0.59518,0.90594,0.77826,0.00134264,0.00134264,0.00134264
168,3497.69,0.60518,0.52089,0.97106,0.95816,0.84746,0.9196,0.81125,0.59536,0.83861,0.75485,0.00133868,0.00133868,0.00133868
169,3517.38,0.61012,0.49618,0.96253,0.94526,0.87803,0.93229,0.84104,0.56156,0.80899,0.75469,0.00133472,0.00133472,0.00133472
170,3536.21,0.62738,0.53396,0.97189,0.9788,0.86441,0.96173,0.84765,0.5469,0.68789,0.74881,0.00133076,0.00133076,0.00133076
171,3556.8,0.64535,0.57426,0.98751,0.97742,0.86441,0.95955,0.83937,0.61483,0.78467,0.73327,0.0013268,0.0013268,0.0013268
172,3576.31,0.57712,0.47318,0.93999,0.98964,0.84746,0.95939,0.83472,0.64923,1.07717,0.72423,0.00132284,0.00132284,0.00132284
173,3595.86,0.60044,0.47217,0.94676,0.95647,0.94915,0.98606,0.83814,0.64051,0.65429,0.71855,0.00131888,0.00131888,0.00131888
174,3615.02,0.56156,0.48672,0.95959,0.94649,0.98305,0.9882,0.83908,0.63489,0.70205,0.72201,0.00131492,0.00131492,0.00131492
175,3634.08,0.60184,0.45729,0.95196,0.94978,0.98305,0.98572,0.82116,0.65587,0.58501,0.72191,0.00131096,0.00131096,0.00131096
176,3653.15,0.6554,0.54156,0.99214,0.96545,0.9661,0.97462,0.81404,0.65682,0.49946,0.71935,0.001307,0.001307,0.001307
177,3672.76,0.63665,0.51282,0.97289,0.98145,0.89665,0.93141,0.81162,0.63595,0.49511,0.71655,0.00130304,0.00130304,0.00130304
178,3692.26,0.69946,0.55393,1.00944,0.94182,0.9322,0.94135,0.83258,0.64033,0.51137,0.71867,0.00129908,0.00129908,0.00129908
